Id,State,black,green,arrow,red,yellow
black_1,[‘black’],1,0,0,0,0
black_2,[‘black’],1,0,0,0,0
black_3,[‘black’],1,0,0,0,0
black_4,[‘black’],1,0,0,0,0
black_5,[‘black’],1,0,0,0,0
black_6,[‘black’],1,0,0,0,0
black_7,[‘black’],1,0,0,0,0
black_8,[‘black’],1,0,0,0,0
black_9,[‘black’],1,0,0,0,0
black_10,[‘black’],1,0,0,0,0
black_11,[‘black’],1,0,0,0,0
black_12,[‘black’],1,0,0,0,0
black_13,[‘black’],1,0,0,0,0
black_14,[‘black’],1,0,0,0,0
black_15,[‘black’],1,0,0,0,0
black_16,[‘black’],1,0,0,0,0
black_17,[‘black’],1,0,0,0,0
black_18,[‘black’],1,0,0,0,0
black_19,[‘black’],1,0,0,0,0
black_20,[‘black’],1,0,0,0,0
black_21,[‘black’],1,0,0,0,0
black_22,[‘black’],1,0,0,0,0
black_23,[‘black’],1,0,0,0,0
black_24,[‘black’],1,0,0,0,0
black_25,[‘black’],1,0,0,0,0
black_26,[‘black’],1,0,0,0,0
black_27,[‘black’],1,0,0,0,0
black_28,[‘black’],1,0,0,0,0
black_29,[‘black’],1,0,0,0,0
black_30,[‘black’],1,0,0,0,0
black_31,[‘black’],1,0,0,0,0
black_32,[‘black’],1,0,0,0,0
black_33,[‘black’],1,0,0,0,0
black_34,[‘black’],1,0,0,0,0
black_35,[‘black’],1,0,0,0,0
black_36,[‘black’],1,0,0,0,0
black_37,[‘black’],1,0,0,0,0
black_38,[‘black’],1,0,0,0,0
black_39,[‘black’],1,0,0,0,0
black_40,[‘black’],1,0,0,0,0
black_41,[‘black’],1,0,0,0,0
black_42,[‘black’],1,0,0,0,0
black_43,[‘black’],1,0,0,0,0
black_44,[‘black’],1,0,0,0,0
black_45,[‘black’],1,0,0,0,0
black_46,[‘black’],1,0,0,0,0
black_47,[‘black’],1,0,0,0,0
black_48,[‘black’],1,0,0,0,0
black_49,[‘black’],1,0,0,0,0
black_50,[‘black’],1,0,0,0,0
black_51,[‘black’],1,0,0,0,0
black_52,[‘black’],1,0,0,0,0
black_53,[‘black’],1,0,0,0,0
black_54,[‘black’],1,0,0,0,0
black_55,[‘black’],1,0,0,0,0
black_56,[‘black’],1,0,0,0,0
black_57,[‘black’],1,0,0,0,0
black_58,[‘black’],1,0,0,0,0
black_59,[‘black’],1,0,0,0,0
black_60,[‘black’],1,0,0,0,0
black_61,[‘black’],1,0,0,0,0
black_62,[‘black’],1,0,0,0,0
black_63,[‘black’],1,0,0,0,0
black_64,[‘black’],1,0,0,0,0
black_65,[‘black’],1,0,0,0,0
black_66,[‘black’],1,0,0,0,0
black_67,[‘black’],1,0,0,0,0
black_68,[‘black’],1,0,0,0,0
black_69,[‘black’],1,0,0,0,0
black_70,[‘black’],1,0,0,0,0
black_71,[‘black’],1,0,0,0,0
black_72,[‘black’],1,0,0,0,0
black_73,[‘black’],1,0,0,0,0
black_74,[‘black’],1,0,0,0,0
black_75,[‘black’],1,0,0,0,0
black_76,[‘black’],1,0,0,0,0
black_77,[‘black’],1,0,0,0,0
black_78,[‘black’],1,0,0,0,0
black_79,[‘black’],1,0,0,0,0
black_80,[‘black’],1,0,0,0,0
black_81,[‘black’],1,0,0,0,0
black_82,[‘black’],1,0,0,0,0
black_83,[‘black’],1,0,0,0,0
black_84,[‘black’],1,0,0,0,0
black_85,[‘black’],1,0,0,0,0
black_86,[‘black’],1,0,0,0,0
black_87,[‘black’],1,0,0,0,0
black_88,[‘black’],1,0,0,0,0
black_89,[‘black’],1,0,0,0,0
black_90,[‘black’],1,0,0,0,0
black_91,[‘black’],1,0,0,0,0
black_92,[‘black’],1,0,0,0,0
black_93,[‘black’],1,0,0,0,0
black_94,[‘black’],1,0,0,0,0
black_95,[‘black’],1,0,0,0,0
black_96,[‘black’],1,0,0,0,0
black_97,[‘black’],1,0,0,0,0
black_98,[‘black’],1,0,0,0,0
black_99,[‘black’],1,0,0,0,0
black_100,[‘black’],1,0,0,0,0
black_101,[‘black’],1,0,0,0,0
black_102,[‘black’],1,0,0,0,0
black_103,[‘black’],1,0,0,0,0
black_104,[‘black’],1,0,0,0,0
black_105,[‘black’],1,0,0,0,0
black_106,[‘black’],1,0,0,0,0
black_107,[‘black’],1,0,0,0,0
black_108,[‘black’],1,0,0,0,0
black_109,[‘black’],1,0,0,0,0
black_110,[‘black’],1,0,0,0,0
black_111,[‘black’],1,0,0,0,0
black_112,[‘black’],1,0,0,0,0
black_113,[‘black’],1,0,0,0,0
black_114,[‘black’],1,0,0,0,0
